Strategy,Parameter,Per_Stock_MSE,Global_MSE,Down_%,Neutral_%,Up_%
Dynamic_Vol20,0.3500000000000001,0.0009135410954114922,0.0004077928278399151,31.84399565707745,31.967718450687627,36.18828589223492
Dynamic_Vol20,0.40000000000000013,0.0011548236826620791,0.0006347063396239086,29.92082162034777,35.92653222684196,34.15264615281027
Dynamic_ATR,0.25000000000000006,0.0013034839577019915,0.00032250440117986406,31.438740384129815,32.815892908243136,35.74536670762705
Dynamic_Vol20,0.30000000000000004,0.0023031754105013505,0.0018287744631824761,33.849651556213914,27.85677613749222,38.293572306293875
Dynamic_ATR,0.30000000000000004,0.002811084143199554,0.0016301401048164083,28.683383271331664,38.5280774992846,32.788539229383744
Dynamic_Vol20,0.45000000000000007,0.002853502109026389,0.0023183416027018717,28.113059067113305,39.72985085932634,32.157090073560354
Dynamic_ATR,0.20000000000000004,0.003231499212328509,0.002450946133321775,34.328235729796155,26.83406416752235,38.8377001026815
Dynamic_Vol20,0.25000000000000006,0.005504486407411315,0.005055930267637394,35.894970289696495,23.631263992458802,40.4737657178447
Dynamic_Vol20,0.5000000000000001,0.005868996221459475,0.005320914390239278,26.374732775598837,43.407868601343274,30.21739862305789
Dynamic_ATR,0.3500000000000001,0.007274134092382731,0.005918388717497045,26.0875191475752,43.98471560590503,29.927765246519773
Fixed,0.006,0.008791306373303512,0.0003044924301001185,30.865891224939823,34.53265187604154,34.601456899018636
Fixed,0.005,0.00886935988349584,0.0009318753266322619,33.16012843604289,29.684212298214014,37.1556592657431
Dynamic_ATR,0.15000000000000002,0.009122913723998803,0.008485469160562883,37.3539734374737,20.591849445351556,42.054177117174746
Dynamic_Vol20,0.5500000000000002,0.009929843720927251,0.009384160910604145,24.74834615449358,46.87168599659973,28.379967848906695
Fixed,0.007,0.01064776932776069,0.0018737127002676195,28.706739104819295,39.118180517447435,32.17508037773326
Dynamic_Vol20,0.20000000000000004,0.010736195683049527,0.010279519503897843,38.03339673775818,19.251940007069873,42.71466325517195
Fixed,0.004,0.011302158151278016,0.004185190463324393,35.641633140875655,24.51226286464558,39.84610399447877
Dynamic_ATR,0.40000000000000013,0.01404099730514801,0.012617153914736223,23.6833411887488,49.0860715067248,27.230587304526406
Fixed,0.008,0.01416373045234003,0.005264821592947601,26.688563637281803,43.42754220883061,29.883894153887592
Dynamic_Vol20,0.6000000000000002,0.014933033206295812,0.01438161711583081,23.20454660225226,50.17821973841466,26.617233659333074
Fixed,0.003,0.016485699057151127,0.01050281443813889,38.25275220091908,19.067197468311814,42.680050330769106
Dynamic_Vol20,0.15000000000000002,0.018104740148030853,0.017616220039941993,40.241995892739915,14.76456899018634,44.993435117073744
Fixed,0.009000000000000001,0.018891087997639777,0.010064965638978693,24.82072819701382,47.41949601898766,27.75977578399852
Dynamic_ATR,0.1,0.01931706011557642,0.018810554672830045,40.55456427693706,14.132699008534347,45.31273671452859
Dynamic_Vol20,0.6500000000000001,0.020731975711826226,0.02020171411004007,21.709562846129245,53.34703822781827,24.943398926052485
Dynamic_ATR,0.45000000000000007,0.02273207343105174,0.021191522103368086,21.465063039709126,53.83561701482991,24.699319945460974
Fixed,0.010000000000000002,0.02457020694147354,0.016021295933132264,23.07324894372717,51.16642399043884,25.760327065833994
Fixed,0.002,0.02500890942376246,0.020462943415656104,41.07018112343663,13.276949686063933,45.65286919049944
Dynamic_Vol20,0.7000000000000002,0.02710246272733646,0.026589873172916594,20.312315888699985,56.3268007137206,23.36088339757941
Dynamic_Vol20,0.1,0.02780830024240866,0.027301608510998925,42.543176730014984,10.129803726833538,47.32701954315148
Fixed,0.011,0.03092100962447176,0.022741528304265162,21.483894995539245,54.61435521066541,23.901749793795343
Dynamic_ATR,0.5000000000000001,0.03262197625717724,0.031032825480914555,19.438471055599507,58.188639385930955,22.37288955846954
Dynamic_Vol20,0.7500000000000002,0.03395208468467376,0.03349152176647791,18.990607167505512,59.16179911458246,21.84759371791203
Fixed,0.001,0.03759772675219388,0.034601807225297106,44.0487863383103,7.169083609675628,48.782130052014075
Fixed,0.012,0.037723334219103816,0.03006207049173383,19.998064201188413,57.82115323110071,22.180782567710878
Dynamic_Vol20,0.8000000000000002,0.04112829131637157,0.04070988037755131,17.762321780261587,61.826468261316,20.411209958422408
Dynamic_ATR,0.5500000000000002,0.0435688556271514,0.04196989418172444,17.55769522110189,62.26623125220934,20.17607352668877
Fixed,0.013000000000000001,0.04482347047192803,0.03778639411990311,18.634062484219033,60.80123133637451,20.564706179406468
Dynamic_Vol20,0.8500000000000002,0.048568080320611884,0.048203500891187516,16.58632400222196,64.34984513609507,19.063830861682966
Fixed,0.014000000000000002,0.05198803433264871,0.045658419342720157,17.360433113942804,63.535231538370894,19.1043353476863
Dynamic_ATR,0.6000000000000002,0.05503743251737373,0.05347648596580027,15.840094601646271,66.00979261703166,18.15011278132207
Dynamic_Vol20,0.9000000000000002,0.056280487894707375,0.05592965315163064,15.487442557274395,66.75297103034995,17.759586412375647
Fixed,0.015,0.05926703744614294,0.05367472953959498,16.17885939367415,66.08522564680929,17.735914959516556
Dynamic_Vol20,0.9500000000000003,0.06388548662064016,0.06359979556357508,14.46641389061895,68.97798239264733,16.555603716733717
Fixed,0.016,0.06643634635684954,0.06162599373735553,15.089762149241674,68.43143484774522,16.478803003013113
Dynamic_ATR,0.6500000000000001,0.06674710343243992,0.06526413444760516,14.2439022337435,69.44225848805696,16.313839278199538
Dynamic_Vol20,1.0000000000000004,0.07148712549728597,0.07121852014439667,13.508929924083022,71.05780884407561,15.433261231841367
Fixed,0.017,0.07360702775955562,0.0695694135787499,14.049796320298954,70.62740922786877,15.322794451832275
Dynamic_ATR,0.7000000000000002,0.07846262527163798,0.07709901427747635,12.802152944939149,72.58751073105863,14.61033632400222
Dynamic_Vol20,1.0500000000000003,0.07906488835062463,0.07877311673170714,12.610992812294846,73.01233440503644,14.37667278266871
Fixed,0.018000000000000002,0.08055319425219555,0.07728348660209056,13.104200683421146,72.64274412106317,14.25305519551568
Dynamic_Vol20,1.1000000000000005,0.08664244890954285,0.08637016925741121,11.757663238338917,74.88511454879054,13.357222212870537
Fixed,0.019000000000000003,0.08724752080144908,0.08469385528031713,12.240666083121518,74.4857508374434,13.273583079435083
Dynamic_ATR,0.7500000000000002,0.089928911117609,0.08870391728637454,11.504010470146616,75.44365562980794,13.052333900045449
Fixed,0.02,0.09370591307901274,0.09188572346645574,11.433627350312253,76.19851195987005,12.367860689817698
Dynamic_Vol20,1.1500000000000004,0.09398257277021714,0.0937383309358598,10.960513912501895,76.62375645967647,12.415729627821637
Dynamic_ATR,0.8000000000000002,0.10103658160731346,0.09996593933108372,10.308759910448263,78.0403614052216,11.650878684330129
Dynamic_Vol20,1.2000000000000004,0.10105689314206986,0.1008586705514472,10.231433164441901,78.24004326089518,11.52852357466292
Dynamic_Vol20,1.2500000000000004,0.10794189258606922,0.10777370964865524,9.545802683185483,79.75564748261989,10.698549834194623
Dynamic_ATR,0.8500000000000002,0.11170528340007409,0.1107382221558801,9.243228912417727,80.39014762570066,10.366623461881597
