Strategy,Parameter,Down_%,Neutral_%,Up_%,MSE
Fixed,0.006,30.86568081202552,34.53275708249869,34.601562105475786,0.00030454435048228844
Dynamic_ATR,0.25000000000000006,31.43884559058697,32.815892908243136,35.74526150116989,0.0003224741962579059
Dynamic_Vol20,0.3500000000000001,31.84399565707745,31.96792886360193,36.18807547932062,0.00040773362666512877
Dynamic_Vol20,0.40000000000000013,29.920611207433467,35.92653222684196,34.152856565724576,0.0006347657046109947
Fixed,0.005,33.16023364250004,29.683581059471102,37.15618529802885,0.0009321617435835167
Dynamic_ATR,0.30000000000000004,28.683488477788817,38.5280774992846,32.788434022926594,0.001630111312960008
Dynamic_Vol20,0.30000000000000004,33.849651556213914,27.85677613749222,38.293572306293875,0.0018287744631824761
Fixed,0.007,28.70642348544784,39.11839093036174,32.175185584190416,0.0018738830783413551
Dynamic_Vol20,0.45000000000000007,28.112953860656155,39.7299560657835,32.157090073560354,0.0023184230808736264
Dynamic_ATR,0.20000000000000004,34.328340936253305,26.833958961065196,38.8377001026815,0.0024509986964089585
Fixed,0.004,35.641527934418505,24.511947245274126,39.84652482030737,0.004185542605902478
Dynamic_Vol20,0.25000000000000006,35.89507549615365,23.6310535795445,40.47387092430185,0.005056134413919553
Fixed,0.008,26.6883532243675,43.42817344757352,29.883473328058983,0.005265436387887197
Dynamic_Vol20,0.5000000000000001,26.374627569141683,43.40807901425758,30.21729341660074,0.005321126373685556
Dynamic_ATR,0.3500000000000001,26.087729560489503,43.98471560590503,29.92755483360547,0.005918334851290397
Dynamic_ATR,0.15000000000000002,37.3539734374737,20.591849445351556,42.054177117174746,0.008485469160562883
Dynamic_Vol20,0.5500000000000002,24.74834615449358,46.87158079014257,28.380073055363848,0.009384031214798508
Fixed,0.009000000000000001,24.820517784099515,47.419706431901965,27.75977578399852,0.010065282646770072
Dynamic_Vol20,0.20000000000000004,38.03360715067248,19.251940007069873,42.71445284225764,0.010279453840254043
Fixed,0.003,38.252646994461934,19.067407881226117,42.67994512431195,0.010502514262430249
Dynamic_ATR,0.40000000000000013,23.68323598229165,49.0862819196391,27.230482098069253,0.012617485374904631
Dynamic_Vol20,0.6000000000000002,23.204230982880805,50.17821973841466,26.617549278704526,0.014381688929814776
Fixed,0.010000000000000002,23.073669769555778,51.16600316461023,25.760327065833994,0.016020507789360743
