description,n_features,n_params,train_samples,test_samples,accuracy,zero_rule_baseline,accuracy_lift,f1_macro,mcc,epochs_trained,ticker,method,top_k,selected_features
all_features,108,69764,1796,397,0.5591939546599496,0.5717884130982368,-0.012594458438287215,0.29477441474213645,0.05767717596035549,23,DIA,baseline,108,
mutual_info_top20,20,47236,1796,397,0.5541561712846348,0.5717884130982368,-0.017632241813602012,0.3065541697236488,0.055211694651620145,18,DIA,mutual_info,20,"['ichimoku_ISB_26', 'return_20d', 'roc_20', 'cmo', 'rsi_14', 'bear_power', 'sma_200', 'intraday_range', 'atr_pct', 'ichimoku_ISA_9']"
mutual_info_top30,30,49796,1796,397,0.5314861460957179,0.5717884130982368,-0.04030226700251893,0.3341197881121835,0.08731040833481701,11,DIA,mutual_info,30,"['ichimoku_ISB_26', 'return_20d', 'roc_20', 'cmo', 'rsi_14', 'bear_power', 'sma_200', 'intraday_range', 'atr_pct', 'ichimoku_ISA_9']"
mutual_info_top50,50,54916,1796,397,0.5591939546599496,0.5717884130982368,-0.012594458438287215,0.2773109243697479,0.022538801702404767,12,DIA,mutual_info,50,"['ichimoku_ISB_26', 'return_20d', 'roc_20', 'cmo', 'rsi_14', 'bear_power', 'sma_200', 'intraday_range', 'atr_pct', 'ichimoku_ISA_9']"
rfe_top20,20,47236,1796,397,0.5667506297229219,0.5717884130982368,-0.005037783375314908,0.2938883903889206,0.06160339338024706,13,DIA,rfe,20,"['ichimoku_ISA_9', 'rsi_14', 'stoch_STOCHk_14_3_3', 'stoch_STOCHh_14_3_3', 'roc_20', 'ppo_PPOh_12_26_9', 'trix_TRIXs_30_9', 'kst_KSTs_9', 'bop', 'obv']"
rfe_top30,30,49796,1796,397,0.5214105793450882,0.5717884130982368,-0.05037783375314864,0.3346755983742285,0.08847805026825678,15,DIA,rfe,30,"['ichimoku_ISA_9', 'rsi_14', 'stoch_STOCHk_14_3_3', 'stoch_STOCHh_14_3_3', 'stochrsi_STOCHRSId_14_14_3_3', 'willr', 'cci', 'roc_20', 'ppo_PPOh_12_26_9', 'trix_TRIXs_30_9']"
rfe_top50,50,54916,1796,397,0.5717884130982368,0.5717884130982368,0.0,0.33057014983459815,0.11938556241994969,21,DIA,rfe,50,"['ema_5', 'ichimoku_ISA_9', 'rsi_14', 'rsi_7', 'cmo', 'stoch_STOCHk_14_3_3', 'stoch_STOCHh_14_3_3', 'stochrsi_STOCHRSId_14_14_3_3', 'smi_SMIo_5_20_5_1.0', 'macd_MACD_12_26_9']"
all_features,108,69764,1796,397,0.327455919395466,0.4005037783375315,-0.0730478589420655,0.3029420017463221,-0.016754376421031867,13,EBAY,baseline,108,
mutual_info_top20,20,47236,1796,397,0.4005037783375315,0.4005037783375315,0.0,0.32312304015058646,0.04528588496229215,23,EBAY,mutual_info,20,"['volume_ratio', 'atr_pct', 'bear_power', 'trix_TRIXs_30_9', 'ichimoku_ISB_26', 'kama', 'ichimoku_ITS_9', 'rsi_bullish', 'bb_BBL_5_2.0_2.0', 'ema_bullish']"
mutual_info_top30,30,49796,1796,397,0.3224181360201511,0.4005037783375315,-0.07808564231738035,0.25139916216974684,-0.03502851534141972,22,EBAY,mutual_info,30,"['volume_ratio', 'atr_pct', 'bear_power', 'trix_TRIXs_30_9', 'ichimoku_ISB_26', 'kama', 'ichimoku_ITS_9', 'rsi_bullish', 'bb_BBL_5_2.0_2.0', 'ema_bullish']"
mutual_info_top50,50,54916,1796,397,0.3501259445843829,0.4005037783375315,-0.05037783375314858,0.2769095674956494,0.0010511876195221314,26,EBAY,mutual_info,50,"['volume_ratio', 'atr_pct', 'bear_power', 'trix_TRIXs_30_9', 'ichimoku_ISB_26', 'kama', 'ichimoku_ITS_9', 'rsi_bullish', 'bb_BBL_5_2.0_2.0', 'ema_bullish']"
rfe_top20,20,47236,1796,397,0.34760705289672544,0.4005037783375315,-0.052896725440806036,0.3416072043523024,0.021774257273869092,12,EBAY,rfe,20,"['ichimoku_ISB_26', 'stoch_STOCHk_14_3_3', 'macd_MACDh_12_26_9', 'trix_TRIX_30_9', 'mfi', 'bop', 'pvo_PVO_12_26_9', 'pvo_PVOh_12_26_9', 'ad', 'volume_ratio']"
rfe_top30,30,49796,1796,397,0.3954659949622166,0.4005037783375315,-0.005037783375314853,0.377373659080082,0.07440918859076995,23,EBAY,rfe,30,"['ichimoku_ISB_26', 'stoch_STOCHk_14_3_3', 'stoch_STOCHh_14_3_3', 'macd_MACDh_12_26_9', 'macd_MACDs_12_26_9', 'willr', 'ppo_PPOs_12_26_9', 'trix_TRIX_30_9', 'coppock', 'kst_KSTs_9']"
rfe_top50,50,54916,1796,397,0.32997481108312343,0.4005037783375315,-0.07052896725440805,0.3039392662159661,-0.028799485658227854,12,EBAY,rfe,50,"['ema_26', 'ichimoku_ISA_9', 'ichimoku_ISB_26', 'rsi_14', 'stoch_STOCHk_14_3_3', 'stoch_STOCHd_14_3_3', 'stoch_STOCHh_14_3_3', 'macd_MACD_12_26_9', 'macd_MACDh_12_26_9', 'macd_MACDs_12_26_9']"
all_features,108,69764,1796,397,0.3501259445843829,0.380352644836272,-0.030226700251889116,0.301075327204638,-0.005738669107330808,19,C,baseline,108,
mutual_info_top20,20,47236,1796,397,0.3501259445843829,0.380352644836272,-0.030226700251889116,0.2870061085183337,-0.011880002849282336,14,C,mutual_info,20,"['bb_BBB_5_2.0_2.0', 'donchian_DCM_20_20', 'macd_MACDs_12_26_9', 'return_10d', 'roc_10', 'trix_TRIX_30_9', 'atr_pct', 'kama', 'intraday_range', 'ema_5']"
mutual_info_top30,30,49796,1796,397,0.36272040302267,0.380352644836272,-0.017632241813602012,0.288999381242818,0.007254753732176036,24,C,mutual_info,30,"['bb_BBB_5_2.0_2.0', 'donchian_DCM_20_20', 'macd_MACDs_12_26_9', 'return_10d', 'roc_10', 'trix_TRIX_30_9', 'atr_pct', 'kama', 'intraday_range', 'ema_5']"
mutual_info_top50,50,54916,1796,397,0.3047858942065491,0.380352644836272,-0.0755667506297229,0.26926134457458756,-0.0766045927335351,22,C,mutual_info,50,"['bb_BBB_5_2.0_2.0', 'donchian_DCM_20_20', 'macd_MACDs_12_26_9', 'return_10d', 'roc_10', 'trix_TRIX_30_9', 'atr_pct', 'kama', 'intraday_range', 'ema_5']"
rfe_top20,20,47236,1796,397,0.3526448362720403,0.380352644836272,-0.027707808564231717,0.3260012341806537,0.0033093349997659195,24,C,rfe,20,"['sma_200', 'stoch_STOCHh_14_3_3', 'cci', 'roc_10', 'trix_TRIXs_30_9', 'kst_KSTs_9', 'bop', 'cmf', 'pvo_PVO_12_26_9', 'pvo_PVOh_12_26_9']"
rfe_top30,30,49796,1796,397,0.35768261964735515,0.380352644836272,-0.022670025188916865,0.2927489908177414,0.010918750434200552,21,C,rfe,30,"['sma_200', 'ichimoku_ISB_26', 'rsi_7', 'stoch_STOCHh_14_3_3', 'smi_SMIo_5_20_5_1.0', 'cci', 'roc_10', 'ppo_PPO_12_26_9', 'trix_TRIXs_30_9', 'kst_KSTs_9']"
rfe_top50,50,54916,1796,397,0.36523929471032746,0.380352644836272,-0.015113350125944558,0.314310424903751,0.018895861970502324,25,C,rfe,50,"['sma_5', 'sma_10', 'sma_50', 'sma_200', 'ema_5', 'dema_20', 'ichimoku_ISB_26', 'rsi_14', 'rsi_7', 'stoch_STOCHk_14_3_3']"
all_features,108,69764,1796,397,0.37531486146095716,0.3778337531486146,-0.002518891687657454,0.32382100921223084,0.05189391841115105,21,MSFT,baseline,108,
mutual_info_top20,20,47236,1796,397,0.37279596977329976,0.3778337531486146,-0.005037783375314853,0.2544648833909015,0.059800071792574405,13,MSFT,mutual_info,20,"['ichimoku_IKS_26', 'donchian_DCM_20_20', 'dema_20', 'ema_5', 'ema_12', 'donchian_DCU_20_20', 'bb_BBM_5_2.0_2.0', 'sma_5', 'vwma_20', 'sma_20']"
mutual_info_top30,30,49796,1796,397,0.3778337531486146,0.3778337531486146,0.0,0.28454055592111116,0.04469588711224813,30,MSFT,mutual_info,30,"['ichimoku_IKS_26', 'donchian_DCM_20_20', 'dema_20', 'ema_5', 'ema_12', 'donchian_DCU_20_20', 'bb_BBM_5_2.0_2.0', 'sma_5', 'vwma_20', 'sma_20']"
mutual_info_top50,50,54916,1796,397,0.3526448362720403,0.3778337531486146,-0.02518891687657432,0.26236044657097285,-0.02514233168077499,19,MSFT,mutual_info,50,"['ichimoku_IKS_26', 'donchian_DCM_20_20', 'dema_20', 'ema_5', 'ema_12', 'donchian_DCU_20_20', 'bb_BBM_5_2.0_2.0', 'sma_5', 'vwma_20', 'sma_20']"
rfe_top20,20,47236,1796,397,0.36523929471032746,0.3778337531486146,-0.01259445843828716,0.3358201349395626,0.018487928816292975,21,MSFT,rfe,20,"['hma_20', 'stochrsi_STOCHRSIk_14_14_3_3', 'macd_MACD_12_26_9', 'trix_TRIXs_30_9', 'mfi', 'cmf', 'pvo_PVO_12_26_9', 'pvo_PVOs_12_26_9', 'obv', 'volume_ratio']"
rfe_top30,30,49796,1796,397,0.3198992443324937,0.3778337531486146,-0.05793450881612089,0.26079883805374005,-0.06467994202328826,12,MSFT,rfe,30,"['hma_20', 'rsi_14', 'stoch_STOCHh_14_3_3', 'stochrsi_STOCHRSIk_14_14_3_3', 'macd_MACD_12_26_9', 'willr', 'roc_20', 'ppo_PPOh_12_26_9', 'trix_TRIXs_30_9', 'aroon_AROONOSC_14']"
rfe_top50,50,54916,1796,397,0.3602015113350126,0.3778337531486146,-0.017632241813602012,0.2787281166796258,0.009084525178530437,15,MSFT,rfe,50,"['sma_200', 'hma_20', 'ichimoku_ISB_26', 'rsi_14', 'rsi_7', 'stoch_STOCHk_14_3_3', 'stoch_STOCHd_14_3_3', 'stoch_STOCHh_14_3_3', 'stochrsi_STOCHRSIk_14_14_3_3', 'smi_SMIs_5_20_5_1.0']"
