config_idx,dropout,scheduler,label_smoothing,confidence_weight,n_params,train_time_seconds,accuracy,zero_rule_baseline,accuracy_lift,f1_macro,f1_weighted,mcc,best_val_loss,epochs_trained
0,0.2,cosine,0.0,0.0,47236,399.5057816505432,0.44563970655037705,0.3544676115199418,0.09117209503043522,0.39864779312040977,0.4030260937657863,0.17389160886713403,1.0229210842593404,19
1,0.2,cosine,0.0,0.5,47236,457.908415555954,0.44634380394294537,0.3544676115199418,0.09187619242300354,0.38857186154115214,0.393630617327561,0.177592234496892,1.3513886861275768,20
2,0.2,cosine,0.1,0.0,47236,530.2125544548035,0.4428403515944399,0.3544676115199418,0.08837274007449808,0.42584778156707753,0.42783173537485397,0.16268514501369044,1.0386952234117006,26
3,0.2,cosine,0.1,0.5,47236,319.70595812797546,0.4443791450894885,0.3544676115199418,0.08991153356954668,0.37594478993250996,0.3814125902287974,0.17554436655494582,1.36834156838007,16
4,0.2,plateau,0.0,0.0,47236,326.1988172531128,0.44424002907240845,0.3544676115199418,0.08977241755246662,0.39501477774571486,0.39944354803804066,0.17155108147372414,1.0226975823745468,18
5,0.2,plateau,0.0,0.5,47236,335.76801204681396,0.4440923957481603,0.3544676115199418,0.08962478422821846,0.4012735016129287,0.4051736449330214,0.16941939828611277,1.3519292086189147,17
6,0.2,plateau,0.1,0.0,47236,355.80023860931396,0.44674979558462796,0.3544676115199418,0.09228218406468613,0.3980460351942381,0.4025383113962602,0.1757070934823006,1.0393802264547256,19
7,0.2,plateau,0.1,0.5,47236,342.5893521308899,0.444952643772145,0.3544676115199418,0.09048503225220317,0.3697646725134338,0.3758568777613992,0.1801734519721468,1.3679128490403274,17
8,0.3,cosine,0.0,0.0,47236,327.61558747291565,0.44591509948214775,0.3544676115199418,0.09144748796220592,0.39759195622112276,0.4021648514886291,0.17570831445555066,1.0221025883242745,18
9,0.3,cosine,0.0,0.5,47236,336.0079472064972,0.44512866812028706,0.3544676115199418,0.09066105660034524,0.37692585951100765,0.3825712683213272,0.1783673028634203,1.3522425326703873,17
10,0.3,cosine,0.1,0.0,47236,299.14126467704773,0.44598891614427183,0.3544676115199418,0.09152130462433,0.38625673222832324,0.3914795994648701,0.1789910879899556,1.0386503424589035,16
11,0.3,cosine,0.1,0.5,47236,363.25372552871704,0.4461677795948033,0.3544676115199418,0.09170016807486148,0.406932546293502,0.41083447094118297,0.17302777894604496,1.367381510295666,18
12,0.3,plateau,0.0,0.0,47236,363.7505054473877,0.4466901744344508,0.3544676115199418,0.09222256291450898,0.40479912950798197,0.40882567572661394,0.1746184997424578,1.0224701418962518,20
13,0.3,plateau,0.0,0.5,47236,336.26695251464844,0.44246842918143,0.3544676115199418,0.08800081766148815,0.37289854931788485,0.37848158911960755,0.1726074695543405,1.352211907676994,17
14,0.3,plateau,0.1,0.0,47236,300.7594428062439,0.4449498046697556,0.3544676115199418,0.09048219314981376,0.37348192691633325,0.379262002207625,0.178623737800821,1.0391822213870971,16
15,0.3,plateau,0.1,0.5,47236,321.2792239189148,0.4458980648678114,0.3544676115199418,0.09143045334786959,0.37487790326998655,0.3806698814173478,0.1806466616734375,1.3673063687563005,16
16,0.4,cosine,0.0,0.0,47236,398.4968469142914,0.4465482193149814,0.3544676115199418,0.09208060779503957,0.4037662382718765,0.4078092443521971,0.17412575090512386,1.022661120574022,22
17,0.4,cosine,0.0,0.5,47236,356.484979391098,0.44647440265285726,0.3544676115199418,0.09200679113291543,0.3814588330599502,0.38702156799256526,0.18178686639325806,1.35336460135659,18
18,0.4,cosine,0.1,0.0,47236,300.93416118621826,0.4445551694376306,0.3544676115199418,0.0900875579176888,0.3544257175366374,0.36129329048754283,0.1829105351897962,1.0389999284168623,16
19,0.4,cosine,0.1,0.5,47236,343.9611978530884,0.44373182974470793,0.3544676115199418,0.0892642182247661,0.3587343442776461,0.3652240622661925,0.1787415251529616,1.3691029622769828,17
20,0.4,plateau,0.0,0.0,47236,547.5598232746124,0.4453501181066594,0.3544676115199418,0.09088250658671759,0.4043855881118774,0.40825883706575034,0.17113234360011192,1.0251701269233202,30
21,0.4,plateau,0.0,0.5,47236,336.95633244514465,0.4453841873353321,0.3544676115199418,0.09091657581539025,0.3844702910751791,0.3896255447326637,0.1766574983794046,1.353750530343411,17
22,0.4,plateau,0.1,0.0,47236,334.9551305770874,0.44561131552648314,0.3544676115199418,0.09114370400654132,0.3805051943078042,0.3860910603410157,0.18103851827046008,1.0387646508380146,18
23,0.4,plateau,0.1,0.5,47236,382.4500560760498,0.44632960843099845,0.3544676115199418,0.09186199691105662,0.3707451638431721,0.3769095609792252,0.18463666439048912,1.3682301446439917,19
