ticker,variant,accuracy,high_conf_accuracy,high_conf_ratio,train_samples,test_samples,num_features
WMT,baseline,0.3056379821958457,0.4230769230769231,0.1543026706231454,1569,337,31
WMT,event_features,0.2551928783382789,0.0,0.0,1569,337,31
WMT,curriculum,0.228486646884273,0.5,0.005934718100890208,1569,337,31
WMT,attention,0.41543026706231456,0.6666666666666666,0.008902077151335312,1569,337,31
WMT,combined,0.3086053412462908,0.5625,0.04747774480712166,1569,337,31
DIS,baseline,0.3026706231454006,0.3076923076923077,0.4629080118694362,1569,337,31
DIS,event_features,0.35311572700296734,0.3409090909090909,0.26112759643916916,1569,337,31
DIS,curriculum,0.3086053412462908,0.30660377358490565,0.629080118694362,1569,337,31
DIS,attention,0.3026706231454006,0.2909090909090909,0.1632047477744807,1569,337,31
DIS,combined,0.3115727002967359,0.3333333333333333,0.16023738872403562,1569,337,31
MSFT,baseline,0.3649851632047478,0.4375,0.04747774480712166,1569,337,31
MSFT,event_features,0.28486646884273,0.2857142857142857,0.14540059347181009,1569,337,31
MSFT,curriculum,0.3887240356083086,0.28888888888888886,0.13353115727002968,1569,337,31
MSFT,attention,0.37388724035608306,0.0,0.0,1569,337,31
MSFT,combined,0.3649851632047478,0.0,0.0,1569,337,31
