Date,Ticker,Weight
2024-01-02,FCNCA,0.5
2024-01-02,ASML,-0.5
2024-01-03,BKNG,0.5
2024-01-03,ASML,-0.5
2024-01-04,MELI,-0.5
2024-01-04,BKNG,0.5
2024-01-05,MELI,0.5
2024-01-05,ASML,-0.5
2024-01-08,FCNCA,0.5
2024-01-08,ASML,-0.5
2024-01-09,MELI,0.5
2024-01-09,ASML,-0.5
2024-01-10,BKNG,0.5
2024-01-10,ASML,-0.5
2024-01-11,BKNG,0.5
2024-01-11,ASML,-0.5
2024-01-12,MELI,0.5
2024-01-12,ASML,-0.5
2024-01-16,MELI,0.5
2024-01-16,ASML,-0.5
2024-01-17,MELI,0.5
2024-01-17,FCNCA,-0.5
2024-01-18,FCNCA,-0.5
2024-01-18,ASML,0.5
2024-01-19,FCNCA,-0.5
2024-01-19,ASML,0.5
2024-01-22,BKNG,-0.5
2024-01-22,ASML,0.5
2024-01-23,FCNCA,0.5
2024-01-23,BKNG,-0.5
2024-01-24,FCNCA,-0.5
2024-01-24,ASML,0.5
2024-01-25,MELI,-0.5
2024-01-25,ASML,0.5
2024-01-26,KLAC,-0.5
2024-01-26,BKNG,0.5
2024-01-29,KLAC,-0.5
2024-01-29,BKNG,0.5
2024-01-30,KLAC,-0.5
2024-01-30,BKNG,0.5
2024-01-31,KLAC,-0.5
2024-01-31,BKNG,0.5
2024-02-01,FCNCA,-0.5
2024-02-01,BKNG,0.5
2024-02-02,FCNCA,-0.5
2024-02-02,BKNG,0.5
2024-02-05,FCNCA,-0.5
2024-02-05,BKNG,0.5
2024-02-06,MELI,-0.5
2024-02-06,BKNG,0.5
2024-02-07,MELI,-0.5
2024-02-07,BKNG,0.5
2024-02-08,BKNG,0.5
2024-02-08,ASML,-0.5
2024-02-09,KLAC,0.5
2024-02-09,MELI,-0.5
2024-02-12,KLAC,0.5
2024-02-12,ASML,-0.5
2024-02-13,MELI,-0.5
2024-02-13,BKNG,0.5
2024-02-14,KLAC,0.5
2024-02-14,BKNG,-0.5
2024-02-15,MELI,0.5
2024-02-15,BKNG,-0.5
2024-02-16,MELI,0.5
2024-02-16,BKNG,-0.5
2024-02-20,KLAC,-0.5
2024-02-20,MELI,0.5
2024-02-21,KLAC,-0.5
2024-02-21,FCNCA,0.5
2024-02-22,KLAC,0.5
2024-02-22,ASML,-0.5
2024-02-23,FCNCA,0.5
2024-02-23,BKNG,-0.5
2024-02-26,BKNG,-0.5
2024-02-26,ASML,0.5
2024-02-27,BKNG,-0.5
2024-02-27,ASML,0.5
2024-02-28,BKNG,-0.5
2024-02-28,ASML,0.5
2024-02-29,BKNG,-0.5
2024-02-29,ASML,0.5
2024-03-01,KLAC,0.5
2024-03-01,BKNG,-0.5
2024-03-04,KLAC,0.5
2024-03-04,BKNG,-0.5
2024-03-05,MELI,-0.5
2024-03-05,FCNCA,0.5
2024-03-06,FCNCA,-0.5
2024-03-06,ASML,0.5
2024-03-07,FCNCA,-0.5
2024-03-07,ASML,0.5
2024-03-08,FCNCA,-0.5
2024-03-08,ASML,0.5
2024-03-11,FCNCA,-0.5
2024-03-11,BKNG,0.5
2024-03-12,MELI,0.5
2024-03-12,FCNCA,-0.5
2024-03-13,MELI,0.5
2024-03-13,FCNCA,-0.5
2024-03-14,MELI,0.5
2024-03-14,ASML,-0.5
2024-03-15,MELI,0.5
2024-03-15,ASML,-0.5
2024-03-18,FCNCA,0.5
2024-03-18,ASML,-0.5
2024-03-19,BKNG,0.5
2024-03-19,ASML,-0.5
2024-03-20,MELI,-0.5
2024-03-20,BKNG,0.5
2024-03-21,KLAC,0.5
2024-03-21,MELI,-0.5
2024-03-22,MELI,0.5
2024-03-22,BKNG,-0.5
2024-03-25,FCNCA,0.5
2024-03-25,ASML,-0.5
2024-03-26,BKNG,0.5
2024-03-26,ASML,-0.5
2024-03-27,MELI,-0.5
2024-03-27,BKNG,0.5
