Date,Ticker,Trade_Weight,Direction
2024-01-02,FCNCA,1.0,Buy
2024-01-03,FCNCA,-1.000256763202233,Sell
2024-01-03,BKNG,1.0,Buy
2024-01-04,BKNG,-0.0004987525930946202,Sell
2024-01-05,MELI,1.0,Buy
2024-01-05,BKNG,-1.0000001251198918,Sell
2024-01-08,MELI,-1.0004885700375845,Sell
2024-01-08,FCNCA,1.0,Buy
2024-01-09,MELI,1.0,Buy
2024-01-09,FCNCA,-1.0005109717117793,Sell
2024-01-10,MELI,-1.0004926030961863,Sell
2024-01-10,BKNG,1.0,Buy
2024-01-11,BKNG,-0.000495986150476968,Sell
2024-01-12,MELI,1.0,Buy
2024-01-12,BKNG,-1.000000125762489,Sell
2024-01-16,MELI,-0.0004960341038655613,Sell
2024-01-18,MELI,-1.0000000000312017,Sell
2024-01-18,ASML,1.0,Buy
2024-01-19,ASML,-0.0004914663905331018,Sell
2024-01-23,FCNCA,1.0,Buy
2024-01-23,ASML,-1.0000000000299054,Sell
2024-01-24,FCNCA,-1.000509123819794,Sell
2024-01-24,ASML,1.0,Buy
2024-01-25,ASML,-0.0004878371679200022,Sell
2024-01-26,BKNG,1.0,Buy
2024-01-26,ASML,-1.000000122146236,Sell
2024-01-29,BKNG,-0.000495422497635678,Sell
2024-02-09,KLAC,1.0,Buy
2024-02-09,BKNG,-1.0,Sell
2024-02-12,KLAC,-0.000501601722313394,Sell
2024-02-13,KLAC,-1.0000001267658218,Sell
2024-02-13,BKNG,1.0,Buy
2024-02-14,KLAC,1.0,Buy
2024-02-14,BKNG,-1.000501495317472,Sell
2024-02-15,KLAC,-1.0005003833714958,Sell
2024-02-15,MELI,1.0,Buy
2024-02-16,MELI,-0.000501238581265051,Sell
2024-02-21,MELI,-1.0000000000318865,Sell
2024-02-21,FCNCA,1.0,Buy
2024-02-22,KLAC,1.0,Buy
2024-02-22,FCNCA,-1.0005009214276221,Sell
2024-02-23,KLAC,-1.0005115659547716,Sell
2024-02-23,FCNCA,1.0,Buy
2024-02-26,FCNCA,-1.0004894020822541,Sell
2024-02-26,ASML,1.0,Buy
2024-02-27,ASML,-0.0005036804615685675,Sell
2024-03-01,KLAC,1.0,Buy
2024-03-01,ASML,-1.0000000000000075,Sell
2024-03-04,KLAC,-0.0005000827549395126,Sell
2024-03-05,KLAC,-1.0000001271354695,Sell
2024-03-05,FCNCA,1.0,Buy
2024-03-06,FCNCA,-1.0005095116829101,Sell
2024-03-06,ASML,1.0,Buy
2024-03-07,ASML,-0.00047960512893729934,Sell
2024-03-11,BKNG,1.0,Buy
2024-03-11,ASML,-1.0000000000326132,Sell
2024-03-12,MELI,1.0,Buy
2024-03-12,BKNG,-1.0005006420933313,Sell
2024-03-13,MELI,-0.0004987417865165433,Sell
2024-03-18,MELI,-1.000000000000008,Sell
2024-03-18,FCNCA,1.0,Buy
2024-03-19,FCNCA,-1.0005007157499524,Sell
2024-03-19,BKNG,1.0,Buy
2024-03-20,BKNG,-0.0004902313848522688,Sell
2024-03-21,KLAC,1.0,Buy
2024-03-21,BKNG,-1.000000120228856,Sell
2024-03-22,KLAC,-1.0005020604022041,Sell
2024-03-22,MELI,1.0,Buy
2024-03-25,MELI,-1.0005074553331992,Sell
2024-03-25,FCNCA,1.0,Buy
2024-03-26,FCNCA,-1.0005015632365226,Sell
2024-03-26,BKNG,1.0,Buy
2024-03-27,BKNG,-0.00049868312894219,Sell
