Date,Ticker,Weight
2024-01-02,FCNCA,1.0
2024-01-03,BKNG,1.0
2024-01-04,BKNG,1.0
2024-01-05,MELI,1.0
2024-01-08,FCNCA,1.0
2024-01-09,MELI,1.0
2024-01-10,BKNG,1.0
2024-01-11,BKNG,1.0
2024-01-12,MELI,1.0
2024-01-16,MELI,1.0
2024-01-17,MELI,1.0
2024-01-18,ASML,1.0
2024-01-19,ASML,1.0
2024-01-22,ASML,1.0
2024-01-23,FCNCA,1.0
2024-01-24,ASML,1.0
2024-01-25,ASML,1.0
2024-01-26,BKNG,1.0
2024-01-29,BKNG,1.0
2024-01-30,BKNG,1.0
2024-01-31,BKNG,1.0
2024-02-01,BKNG,1.0
2024-02-02,BKNG,1.0
2024-02-05,BKNG,1.0
2024-02-06,BKNG,1.0
2024-02-07,BKNG,1.0
2024-02-08,BKNG,1.0
2024-02-09,KLAC,1.0
2024-02-12,KLAC,1.0
2024-02-13,BKNG,1.0
2024-02-14,KLAC,1.0
2024-02-15,MELI,1.0
2024-02-16,MELI,1.0
2024-02-20,MELI,1.0
2024-02-21,FCNCA,1.0
2024-02-22,KLAC,1.0
2024-02-23,FCNCA,1.0
2024-02-26,ASML,1.0
2024-02-27,ASML,1.0
2024-02-28,ASML,1.0
2024-02-29,ASML,1.0
2024-03-01,KLAC,1.0
2024-03-04,KLAC,1.0
2024-03-05,FCNCA,1.0
2024-03-06,ASML,1.0
2024-03-07,ASML,1.0
2024-03-08,ASML,1.0
2024-03-11,BKNG,1.0
2024-03-12,MELI,1.0
2024-03-13,MELI,1.0
2024-03-14,MELI,1.0
2024-03-15,MELI,1.0
2024-03-18,FCNCA,1.0
2024-03-19,BKNG,1.0
2024-03-20,BKNG,1.0
2024-03-21,KLAC,1.0
2024-03-22,MELI,1.0
2024-03-25,FCNCA,1.0
2024-03-26,BKNG,1.0
2024-03-27,BKNG,1.0
