Date,Ticker,Karash_Score,Karash_Signal,Return_Next
2024-01-02,BKNG,-10.77,BEKLE,-0.020482198091735238
2024-01-03,BKNG,-17.8,BEKLE,0.003129820354710766
2024-01-04,BKNG,-0.68,BEKLE,-0.003450514433188223
2024-01-05,BKNG,-5.39,BEKLE,0.01604979196195866
2024-01-08,BKNG,10.58,BEKLE,0.007620930135755044
2024-01-09,BKNG,6.1,BEKLE,0.009148052637672599
2024-01-10,BKNG,47.66,BEKLE,0.008841082455623761
2024-01-11,BKNG,36.99,BEKLE,-0.014041833673378523
2024-01-12,BKNG,22.58,BEKLE,0.00037128670196295843
2024-01-16,BKNG,22.35,BEKLE,-0.003938981697733768
2024-01-17,BKNG,23.42,BEKLE,0.011149475417628008
2024-01-18,BKNG,37.9,BEKLE,0.024852538857552453
2024-01-19,BKNG,26.64,BEKLE,-0.0305514211753255
2024-01-22,BKNG,10.28,BEKLE,-0.004392504152939236
2024-01-23,BKNG,13.82,BEKLE,0.001756003463793343
2024-01-24,BKNG,20.51,BEKLE,0.0018593218939748635
2024-01-25,BKNG,23.49,BEKLE,0.004666867277350439
2024-01-26,BKNG,38.53,BEKLE,0.00973965491649853
2024-01-29,BKNG,35.37,BEKLE,0.00035757734007613173
2024-01-30,BKNG,35.47,BEKLE,-0.01341158942966314
2024-01-31,BKNG,21.21,BEKLE,0.014534441703126122
2024-02-01,BKNG,35.05,BEKLE,0.0008263420504317498
2024-02-02,BKNG,35.07,BEKLE,0.01786107300766382
2024-02-05,BKNG,27.61,BEKLE,0.005500554429406224
2024-02-06,BKNG,39.6,BEKLE,0.017553195753210904
2024-02-07,BKNG,40.98,BEKLE,0.035401062362736546
2024-02-08,BKNG,39.2,BEKLE,-0.021363402854594593
2024-02-09,BKNG,28.8,BEKLE,0.008528316078434184
2024-02-12,BKNG,33.96,BEKLE,-0.011244713590868871
2024-02-13,BKNG,31.62,BEKLE,-0.0024816544889951775
2024-02-14,BKNG,-8.4,BEKLE,0.003303591870669198
2024-02-15,BKNG,-2.29,BEKLE,-0.00901707794865192
2024-02-16,BKNG,0.68,BEKLE,-0.004299321849818405
2024-02-20,BKNG,-5.72,BEKLE,0.010881190190770607
2024-02-21,BKNG,8.85,BEKLE,0.042997735015682936
2024-02-22,BKNG,19.07,BEKLE,-0.10149438836845304
2024-02-23,BKNG,-36.17,BEKLE,-0.001771321416221494
2024-02-26,BKNG,-37.86,BEKLE,-0.006180292768286022
2024-02-27,BKNG,-26.09,BEKLE,0.005034143015136383
2024-02-28,BKNG,-22.35,BEKLE,-0.007666684609425656
2024-02-29,BKNG,-25.21,BEKLE,0.00890783278785956
2024-03-01,BKNG,-20.86,BEKLE,-0.010952186468908609
2024-03-04,BKNG,-19.85,BEKLE,-0.008999209239183625
2024-03-05,BKNG,20.37,BEKLE,-0.0006472344893417858
2024-03-06,BKNG,14.83,BEKLE,0.017103102737260123
2024-03-07,BKNG,18.82,BEKLE,0.0022826932965243074
2024-03-08,BKNG,19.44,BEKLE,0.004888976882149176
2024-03-11,BKNG,21.21,BEKLE,-0.0007825396261914586
2024-03-12,BKNG,7.83,BEKLE,0.0
2024-03-13,BKNG,8.26,BEKLE,0.003303029381207301
2024-03-14,BKNG,13.18,BEKLE,-0.02778806580149884
2024-03-15,BKNG,0.8,BEKLE,0.010822896627268985
2024-03-18,BKNG,9.12,BEKLE,0.015952088672034126
2024-03-19,BKNG,26.69,BEKLE,0.020682011510017917
2024-03-20,BKNG,42.19,BEKLE,0.019371431549823015
2024-03-21,BKNG,33.89,BEKLE,-0.006327406172520589
2024-03-22,BKNG,16.73,BEKLE,0.0006098727125216641
2024-03-25,BKNG,29.07,BEKLE,0.009413035221743637
2024-03-26,BKNG,27.47,BEKLE,0.0033922662782026602
2024-03-27,BKNG,33.85,BEKLE,-0.012418542354802109
2024-01-02,MELI,-21.72,BEKLE,-0.019069314870846954
2024-01-03,MELI,-24.0,BEKLE,0.012920003255208368
2024-01-04,MELI,-22.86,BEKLE,0.012801242025937576
2024-01-05,MELI,17.45,BEKLE,0.02389479057551136
2024-01-08,MELI,20.05,BEKLE,-0.0014343804269129068
2024-01-09,MELI,18.05,BEKLE,0.01577540067536143
2024-01-10,MELI,27.38,BEKLE,-0.004054650554489725
2024-01-11,MELI,16.97,BEKLE,0.04203099874737748
2024-01-12,MELI,43.31,BEKLE,0.008495272018203659
2024-01-16,MELI,41.27,BEKLE,-0.02235349092535066
2024-01-17,MELI,25.2,BEKLE,0.016327448934452704
