feature,importance
atr_pct,0.07669901347505154
atr,0.0437308750776668
intraday_range,0.0430937708454062
bb_BBB_5_2.0_2.0,0.030648280200319303
gap,0.029610677283904478
return_5d,0.024581647874090912
obv,0.023199518226161942
cci,0.022703778761563674
macd_MACD_12_26_9,0.022656085512919158
adx_DMN_14,0.02214276153228504
rsi_14,0.021053501992571992
macd_MACDs_12_26_9,0.020961789418653294
log_return,0.020786303571785455
volume_ratio,0.02072848583907722
return_20d,0.02044705097357738
aroon_AROOND_14,0.020395149468159013
roc_20,0.02020068480343139
mfi,0.02002816496787105
mstd_20,0.0199906189521288
return_1d,0.019881028113272622
aroon_AROONOSC_14,0.019850375292264282
high_low_pct,0.019511296204190055
rsi_7,0.019322727304078045
adx_DMP_14,0.01926987593647341
aroon_AROONU_14,0.019011536001462378
ao,0.018902838944517095
roc_10,0.01877358060923863
stoch_STOCHh_14_3_3,0.01841789938733154
adx_ADXR_14_2,0.018344798377883786
return_10d,0.01830040131977127
bb_BBP_5_2.0_2.0,0.018212503736405684
stoch_STOCHd_14_3_3,0.018203389958465984
bop,0.018197889248306762
macd_MACDh_12_26_9,0.017921740584301654
adx_ADX_14,0.017774550410122644
willr,0.016256219820616202
stoch_STOCHk_14_3_3,0.016119895405148923
sma_50,0.013717638289932723
bb_BBL_5_2.0_2.0,0.013552124145178746
bb_BBU_5_2.0_2.0,0.013329749599248002
bb_BBM_5_2.0_2.0,0.012394809937213655
kama,0.012386847365052142
vwma_20,0.011809311111424647
sma_20,0.011641698586567805
ema_5,0.011392739509458096
sma_10,0.01120184884439551
ema_26,0.011198166857812029
ema_12,0.010794655186354989
sma_5,0.010649705136886088
