fold,val_start,val_end,train_samples,val_samples,train_time,mse,mae,r2,ic,directional_accuracy
1,2017-01-01,2017-04-01,112356,5766,52.9997341632843,1.36287522315979,0.782602071762085,-0.0018137693405151367,0.01759846742038925,0.5292156518687489
2,2017-04-01,2017-07-01,118122,5859,36.57934331893921,1.4026551246643066,0.8208488821983337,0.00017702579498291016,0.039426235765474806,0.5313309166235112
3,2017-07-01,2017-10-01,123981,5859,55.585981607437134,1.3367234468460083,0.7835685610771179,-0.00018537044525146484,0.026139094006116255,0.5357883817427386
4,2017-10-01,2018-01-01,129840,5859,53.089823722839355,1.456012487411499,0.795009970664978,-0.0013321638107299805,0.009461392021972288,0.5358992060752502
5,2018-01-01,2018-04-01,135699,5673,89.2109260559082,1.5779473781585693,0.894311249256134,-0.0026475191116333008,0.04068662610108345,0.5181365576102418
6,2018-04-01,2018-07-01,141372,5952,68.75213027000427,1.215705156326294,0.7705897092819214,0.0001544952392578125,0.03585612193330968,0.5302286198137172
7,2018-07-01,2018-10-01,147324,5859,59.94588565826416,1.3252403736114502,0.7931115627288818,0.00040781497955322266,0.04734919939181834,0.5497499568891188
8,2018-10-01,2019-01-01,153183,5859,59.1435272693634,1.6119585037231445,0.9033318161964417,-0.02250063419342041,0.010181241665730385,0.46854589205912683
9,2019-01-01,2019-04-01,159042,5673,64.36981105804443,1.185855746269226,0.7427077293395996,-0.0020345449447631836,0.020320297706692112,0.5732597471960121
10,2019-04-01,2019-07-01,164715,5859,50.78813314437866,1.3386861085891724,0.8038157224655151,0.0003991127014160156,0.028402944380718307,0.5413870246085011
11,2019-07-01,2019-10-01,170574,5952,71.9077742099762,1.3281974792480469,0.8151755332946777,-0.0017323493957519531,0.048121367634498424,0.5228658536585366
12,2019-10-01,2020-01-01,176526,5828,64.59398198127747,1.2413748502731323,0.773497998714447,-0.0014690160751342773,0.03713166549521297,0.5488630446103107
