feature,mean_abs_shap,std_abs_shap,lgbm_importance,rank,selected,shap_pct,cumulative_shap_pct
high_low_pct,0.03381299249078182,0.03884147383357623,404,1,True,11.05,11.05
gap,0.02102280661016067,0.03269855700608901,890,2,True,6.87,17.92
aroon_AROOND_14,0.016455676412652484,0.012736193074096003,321,3,True,5.38,23.3
ppo_PPOh_12_26_9,0.009689683402741282,0.00911947303364516,329,4,True,3.17,26.47
volume_ratio,0.009554472869642505,0.007934912318716339,303,5,True,3.12,29.59
atr_pct,0.009430254114654155,0.014128155069817301,562,6,True,3.08,32.67
smi_SMIo_5_20_5_1.0,0.00822840472933808,0.011808510877354692,415,7,True,2.69,35.36
intraday_range,0.007559072875093336,0.010127836815996326,448,8,True,2.47,37.83
aroon_AROONU_14,0.007332769366389455,0.009622685965882082,208,9,True,2.4,40.23
stoch_STOCHh_14_3_3,0.006906203904579566,0.008661288195758279,419,10,True,2.26,42.49
cmf,0.006597174595656379,0.005199465673165416,176,11,True,2.16,44.65
mstd_20,0.006385764355585435,0.01200900514696732,255,12,True,2.09,46.74
bear_power,0.006246341873728224,0.005756028720706067,158,13,True,2.04,48.78
sma_200,0.006037838962657644,0.010968844059965208,167,14,True,1.97,50.75
stochrsi_STOCHRSId_14_14_3_3,0.005840996874668725,0.009753393874636354,298,15,True,1.91,52.66
trix_TRIXs_30_9,0.005597941364438192,0.006254846962423957,348,16,True,1.83,54.49
psl,0.005495782833694922,0.007563398195165409,113,17,True,1.8,56.29
adx_DMP_14,0.005335136415864604,0.004590193189632146,227,18,True,1.74,58.03
willr,0.0051453472523182355,0.006757071653394784,242,19,True,1.68,59.71
stoch_STOCHd_14_3_3,0.004937257123485594,0.007125439753597177,241,20,True,1.61,61.32
rvgi,0.004844242264317116,0.006818578339608071,201,21,False,1.58,62.9
bb_BBP_5_2.0_2.0,0.004617851829463357,0.007396790543173619,382,22,False,1.51,64.41
cci,0.004083200676701436,0.005061978032468959,287,23,False,1.33,65.74
log_return,0.0038968275241584144,0.004509510753546119,191,24,False,1.27,67.01
ad,0.003859598359001655,0.005940730474195978,265,25,False,1.26,68.27
true_range,0.0037642880309268043,0.00636853422754237,138,26,False,1.23,69.5
return_5d,0.0037271906369666374,0.010091519063705019,345,27,False,1.22,70.72
return_1d,0.0036040983393350024,0.006176814418605565,240,28,False,1.18,71.9
bop,0.003486918526781026,0.00475693566147355,202,29,False,1.14,73.04
adx_DMN_14,0.0034647266860913972,0.005187873371738335,331,30,False,1.13,74.17
ichimoku_ISA_9,0.0033486782192913307,0.007503233244537756,81,31,False,1.09,75.26
bb_BBB_5_2.0_2.0,0.003261913873081314,0.00512560952637499,239,32,False,1.07,76.33
roc_20,0.0032429079021346805,0.0028426230997344397,185,33,False,1.06,77.39
aroon_AROONOSC_14,0.003101230794945069,0.00502794161252263,192,34,False,1.01,78.4
stoch_STOCHk_14_3_3,0.003056799646641114,0.0038595784514362,186,35,False,1.0,79.4
smi_SMIs_5_20_5_1.0,0.002810383738955127,0.0062210406978624,198,36,False,0.92,80.32
coppock,0.0027978510207464836,0.007228160925473856,189,37,False,0.91,81.23
