Date,Ticker,Weight
2023-05-31,NVDA,0.5
2023-05-31,BA,-0.5
2023-06-01,BA,-0.5
2023-06-01,NVDA,0.5
2023-06-02,NVDA,0.5
2023-06-02,WMT,-0.5
2023-06-05,JNJ,-0.5
2023-06-05,NVDA,0.5
2023-06-06,NVDA,0.5
2023-06-06,WMT,-0.5
2023-06-07,NVDA,0.5
2023-06-07,WMT,-0.5
2023-06-08,NVDA,0.5
2023-06-08,WMT,-0.5
2023-06-09,NVDA,0.5
2023-06-09,WMT,-0.5
2023-06-12,NVDA,0.5
2023-06-12,WMT,-0.5
2023-06-13,NVDA,0.5
2023-06-13,WMT,-0.5
2023-06-14,NVDA,0.5
2023-06-14,WMT,-0.5
2023-06-15,NVDA,0.5
2023-06-15,WMT,-0.5
2023-06-16,NVDA,0.5
2023-06-16,WMT,-0.5
2023-06-20,NVDA,0.5
2023-06-20,WMT,-0.5
2023-06-21,NVDA,0.5
2023-06-21,WMT,-0.5
2023-06-22,NVDA,0.5
2023-06-22,WMT,-0.5
2023-06-23,NVDA,0.5
2023-06-23,WMT,-0.5
2023-06-26,NVDA,0.5
2023-06-26,WMT,-0.5
2023-06-27,BA,-0.5
2023-06-27,NVDA,0.5
2023-06-28,NVDA,0.5
2023-06-28,XOM,-0.5
2023-06-29,NVDA,0.5
2023-06-29,XOM,-0.5
2023-06-30,NVDA,0.5
2023-06-30,WMT,-0.5
2023-07-03,NVDA,0.5
2023-07-03,WMT,-0.5
2023-07-05,KO,-0.5
2023-07-05,JNJ,0.5
2023-07-06,JPM,-0.5
2023-07-06,NVDA,0.5
2023-07-07,JNJ,0.5
2023-07-07,JPM,-0.5
2023-07-10,JNJ,0.5
2023-07-10,XOM,-0.5
2023-07-11,JNJ,0.5
2023-07-11,XOM,-0.5
2023-07-12,DIS,-0.5
2023-07-12,JNJ,0.5
2023-07-13,DIS,-0.5
2023-07-13,NVDA,0.5
2023-07-14,NVDA,0.5
2023-07-14,WMT,-0.5
2023-07-17,NVDA,0.5
2023-07-17,WMT,-0.5
2023-07-18,NVDA,0.5
2023-07-18,WMT,-0.5
2023-07-19,NVDA,0.5
2023-07-19,WMT,-0.5
2023-07-20,NVDA,0.5
2023-07-20,WMT,-0.5
2023-07-21,NVDA,0.5
2023-07-21,WMT,-0.5
2023-07-24,NVDA,0.5
2023-07-24,WMT,-0.5
2023-07-25,NVDA,0.5
2023-07-25,WMT,-0.5
2023-07-26,BA,-0.5
2023-07-26,NVDA,0.5
2023-07-27,BA,-0.5
2023-07-27,NVDA,0.5
2023-07-28,BA,-0.5
2023-07-28,NVDA,0.5
2023-07-31,BA,-0.5
2023-07-31,NVDA,0.5
2023-08-01,NVDA,0.5
2023-08-01,XOM,-0.5
2023-08-02,KO,-0.5
2023-08-02,NVDA,0.5
2023-08-03,NVDA,0.5
2023-08-03,WMT,-0.5
2023-08-04,NVDA,0.5
2023-08-04,XOM,-0.5
2023-08-07,NVDA,0.5
2023-08-07,WMT,-0.5
2023-08-08,NVDA,0.5
2023-08-08,WMT,-0.5
2023-08-09,DIS,-0.5
2023-08-09,NVDA,0.5
2023-08-10,NVDA,0.5
2023-08-10,XOM,-0.5
2023-08-11,NVDA,0.5
2023-08-11,WMT,-0.5
2023-08-14,DIS,-0.5
2023-08-14,NVDA,0.5
2023-08-15,DIS,-0.5
2023-08-15,NVDA,0.5
2023-08-16,DIS,-0.5
2023-08-16,NVDA,0.5
2023-08-17,DIS,-0.5
2023-08-17,JPM,0.5
2023-08-18,NVDA,0.5
2023-08-18,XOM,-0.5
2023-08-21,BA,-0.5
2023-08-21,NVDA,0.5
2023-08-22,BA,-0.5
2023-08-22,NVDA,0.5
2023-08-23,JNJ,0.5
2023-08-23,WMT,-0.5
2023-08-24,NVDA,0.5
2023-08-24,XOM,-0.5
2023-08-25,NVDA,0.5
2023-08-25,WMT,-0.5
2023-08-28,NVDA,0.5
2023-08-28,WMT,-0.5
2023-08-29,NVDA,0.5
2023-08-29,WMT,-0.5
2023-08-30,NVDA,0.5
2023-08-30,WMT,-0.5
2023-08-31,NVDA,0.5
2023-08-31,WMT,-0.5
2023-09-01,NVDA,0.5
2023-09-01,WMT,-0.5
2023-09-05,NVDA,0.5
2023-09-05,WMT,-0.5
2023-09-06,NVDA,0.5
2023-09-06,WMT,-0.5
2023-09-07,NVDA,0.5
2023-09-07,WMT,-0.5
2023-09-08,NVDA,0.5
2023-09-08,WMT,-0.5
2023-09-11,NVDA,0.5
2023-09-11,WMT,-0.5
2023-09-12,NVDA,0.5
2023-09-12,WMT,-0.5
2023-09-13,NVDA,0.5
