Date,Ticker,Weight
2023-05-31,NVDA,0.25
2023-05-31,SPY,0.25
2023-05-31,BA,-0.25
2023-05-31,WMT,-0.25
2023-06-01,SPY,0.25
2023-06-01,BA,-0.25
2023-06-01,NVDA,0.25
2023-06-01,WMT,-0.25
2023-06-02,SPY,0.25
2023-06-02,BA,-0.25
2023-06-02,NVDA,0.25
2023-06-02,WMT,-0.25
2023-06-05,SPY,0.25
2023-06-05,BA,-0.25
2023-06-05,JNJ,-0.25
2023-06-05,NVDA,0.25
2023-06-06,KO,0.25
2023-06-06,JPM,-0.25
2023-06-06,NVDA,0.25
2023-06-06,WMT,-0.25
2023-06-07,SPY,0.25
2023-06-07,BA,-0.25
2023-06-07,NVDA,0.25
2023-06-07,WMT,-0.25
2023-06-08,SPY,0.25
2023-06-08,BA,-0.25
2023-06-08,NVDA,0.25
2023-06-08,WMT,-0.25
2023-06-09,SPY,0.25
2023-06-09,BA,-0.25
2023-06-09,NVDA,0.25
2023-06-09,WMT,-0.25
2023-06-12,DIS,-0.25
2023-06-12,SPY,0.25
2023-06-12,NVDA,0.25
2023-06-12,WMT,-0.25
2023-06-13,DIS,-0.25
2023-06-13,SPY,0.25
2023-06-13,NVDA,0.25
2023-06-13,WMT,-0.25
2023-06-14,SPY,0.25
2023-06-14,BA,-0.25
2023-06-14,NVDA,0.25
2023-06-14,WMT,-0.25
2023-06-15,SPY,0.25
2023-06-15,JPM,-0.25
2023-06-15,NVDA,0.25
2023-06-15,WMT,-0.25
2023-06-16,SPY,0.25
2023-06-16,BA,-0.25
2023-06-16,NVDA,0.25
2023-06-16,WMT,-0.25
2023-06-20,SPY,0.25
2023-06-20,JPM,-0.25
2023-06-20,NVDA,0.25
2023-06-20,WMT,-0.25
2023-06-21,SPY,0.25
2023-06-21,JNJ,-0.25
2023-06-21,NVDA,0.25
2023-06-21,WMT,-0.25
2023-06-22,KO,-0.25
2023-06-22,NVDA,0.25
2023-06-22,WMT,-0.25
2023-06-22,MSFT,0.25
2023-06-23,SPY,0.25
2023-06-23,BA,-0.25
2023-06-23,NVDA,0.25
2023-06-23,WMT,-0.25
2023-06-26,SPY,0.25
2023-06-26,BA,-0.25
2023-06-26,NVDA,0.25
2023-06-26,WMT,-0.25
2023-06-27,BA,-0.25
2023-06-27,NVDA,0.25
2023-06-27,MSFT,0.25
2023-06-27,XOM,-0.25
2023-06-28,NVDA,0.25
2023-06-28,WMT,-0.25
2023-06-28,MSFT,0.25
2023-06-28,XOM,-0.25
