fold,val_start,val_end,train_samples,val_samples,train_time,accuracy,zero_rule,lift,mcc,f1_macro
1,2017-01-01,2017-04-01,109332,5580,69.91802525520325,0.4390681003584229,0.3913978494623656,0.04767025089605731,0.13216817852326493,0.3879900215630652
2,2017-04-01,2017-07-01,114912,5670,71.5847237110138,0.4306878306878307,0.40282186948853616,0.02786596119929452,0.112744908750307,0.3778019892038335
3,2017-07-01,2017-10-01,120582,5670,81.99959707260132,0.44462081128747794,0.40476190476190477,0.03985890652557317,0.1297135403539524,0.3800747939816969
4,2017-10-01,2018-01-01,126252,5670,106.52989935874939,0.44603174603174606,0.4104056437389771,0.03562610229276897,0.12643627454502607,0.3683270972418002
5,2018-01-01,2018-04-01,131922,5490,77.21761202812195,0.3903460837887067,0.37777777777777777,0.012568306010928953,0.08019452378401246,0.33131744651833633
6,2018-04-01,2018-07-01,137412,5760,166.4323868751526,0.40260416666666665,0.3640625,0.03854166666666664,0.09476998356229652,0.37479278234948055
7,2018-07-01,2018-10-01,143172,5670,112.91770839691162,0.418694885361552,0.35908289241622576,0.059611992945326264,0.10894678839579963,0.3655036457079164
8,2018-10-01,2019-01-01,148842,5670,96.46981811523438,0.3671957671957672,0.4142857142857143,-0.047089947089947126,0.055553662533964,0.31115960517240226
9,2019-01-01,2019-04-01,154512,5490,118.63214421272278,0.41183970856102003,0.39672131147540984,0.015118397085610191,0.09010820463172597,0.3784147591192877
10,2019-04-01,2019-07-01,160002,5670,99.75371670722961,0.4038800705467372,0.3700176366843034,0.033862433862433816,0.09296523067121712,0.348425621069669
11,2019-07-01,2019-10-01,165672,5767,101.80839776992798,0.4191087220391885,0.3773192301023062,0.04178949193688225,0.1282229064020571,0.36177580087202243
12,2019-10-01,2020-01-01,171439,5642,182.39355063438416,0.4326479971641262,0.3621056362991847,0.07054236086494153,0.13369526089280284,0.39757122721039134
