fold,val_start,val_end,train_samples,val_samples,train_time,accuracy,zero_rule,lift,mcc,f1_macro
1,2017-01-01,2017-04-01,109332,5580,34.955891370773315,0.4397849462365591,0.3913978494623656,0.048387096774193505,0.13520993413749435,0.3931212817080849
2,2017-04-01,2017-07-01,114912,5670,36.98276901245117,0.43527336860670196,0.40282186948853616,0.032451499118165805,0.11840269180799079,0.3701986177957311
3,2017-07-01,2017-10-01,120582,5670,42.783897399902344,0.44303350970017635,0.40476190476190477,0.038271604938271586,0.1250942510760189,0.36854870254366845
4,2017-10-01,2018-01-01,126252,5670,32.327680587768555,0.44391534391534393,0.4104056437389771,0.03350970017636684,0.1272725184841003,0.3605701738725498
5,2018-01-01,2018-04-01,131922,5490,39.27572965621948,0.3825136612021858,0.37777777777777777,0.004735883424408005,0.05940421843894347,0.3611875858340909
6,2018-04-01,2018-07-01,137412,5760,35.956411361694336,0.4065972222222222,0.3640625,0.04253472222222221,0.10351481406983694,0.3361216566231721
7,2018-07-01,2018-10-01,143172,5670,39.47848868370056,0.4141093474426808,0.35908289241622576,0.055026455026455035,0.10108350030168488,0.35469699456954934
8,2018-10-01,2019-01-01,148842,5670,37.646406412124634,0.36049382716049383,0.4142857142857143,-0.05379188712522048,0.04646263438564603,0.2999223510320288
9,2019-01-01,2019-04-01,154512,5490,38.4734525680542,0.417304189435337,0.39672131147540984,0.020582877959927137,0.10033545354467706,0.37873454995325334
10,2019-04-01,2019-07-01,160002,5670,42.85702061653137,0.40811287477954145,0.3700176366843034,0.03809523809523807,0.09904776048803118,0.35536965765829726
11,2019-07-01,2019-10-01,165672,5767,41.23056697845459,0.4182417201317843,0.3773192301023062,0.040922490029478065,0.12169908107752195,0.37193562833206045
12,2019-10-01,2020-01-01,171439,5642,56.1759135723114,0.42662176533144275,0.3621056362991847,0.06451612903225806,0.12202102739073664,0.3772893278789722
