fold,val_start,val_end,train_samples,val_samples,train_time,mse,mae,r2,ic,directional_accuracy
1,2017-01-01,2017-04-01,112356,5766,75.65153384208679,1.3630412817001343,0.7827257513999939,-0.001935720443725586,0.045114666068781055,0.5285137743463766
2,2017-04-01,2017-07-01,118122,5859,45.590142488479614,1.4004929065704346,0.8206222057342529,0.0017182230949401855,0.05319747607061925,0.5339202485758674
3,2017-07-01,2017-10-01,123981,5859,32.46784782409668,1.3373218774795532,0.7835543155670166,-0.0006331205368041992,0.015422055527744564,0.5347510373443983
4,2017-10-01,2018-01-01,129840,5859,29.211814165115356,1.4575645923614502,0.7952948808670044,-0.0023995637893676758,0.015374777490645381,0.5331377286848464
5,2018-01-01,2018-04-01,135699,5673,35.546624422073364,1.5776408910751343,0.8955488801002502,-0.0024526119232177734,0.012595807809626545,0.5144025604551921
6,2018-04-01,2018-07-01,141372,5952,52.55870771408081,1.2163660526275635,0.7697209715843201,-0.00038909912109375,0.05159767780415764,0.5320914479254869
7,2018-07-01,2018-10-01,147324,5859,33.01409411430359,1.3264275789260864,0.793488621711731,-0.0004876852035522461,0.02697612850261681,0.5463010863942059
8,2018-10-01,2019-01-01,153183,5859,27.777605056762695,1.6172447204589844,0.9048910140991211,-0.025853753089904785,0.007325594206711802,0.484015125472671
9,2019-01-01,2019-04-01,159042,5673,44.95913243293762,1.187472939491272,0.7445300221443176,-0.0034012794494628906,0.027370885843275503,0.5600854548691472
10,2019-04-01,2019-07-01,164715,5859,32.98133111000061,1.3420318365097046,0.8042542934417725,-0.0020990371704101562,0.0040487823304006,0.5376011013594906
11,2019-07-01,2019-10-01,170574,5952,34.563573598861694,1.3289662599563599,0.8152870535850525,-0.002312183380126953,0.040827964104993994,0.524559620596206
12,2019-10-01,2020-01-01,176526,5828,51.215585231781006,1.2426786422729492,0.7740141749382019,-0.002520918846130371,0.031018964517286515,0.549383787536886
