fold,val_start,val_end,train_samples,val_samples,train_time,mse,mae,r2,ic,directional_accuracy
1,2017-01-01,2017-04-01,112356,5766,32.031885862350464,1.3618212938308716,0.7826765775680542,-0.0010390281677246094,0.03822144741272808,0.5286892437269697
2,2017-04-01,2017-07-01,118122,5859,29.042205095291138,1.3994070291519165,0.8199014067649841,0.002492249011993408,0.06623262264995278,0.5280510961505265
3,2017-07-01,2017-10-01,123981,5859,32.471352100372314,1.3407596349716187,0.7842336893081665,-0.0032052993774414062,-0.0005138795749407248,0.5352697095435685
4,2017-10-01,2018-01-01,129840,5859,37.77856373786926,1.4552671909332275,0.795444130897522,-0.0008196830749511719,0.026143806575580613,0.5352088367276493
5,2018-01-01,2018-04-01,135699,5673,36.48325967788696,1.5805439949035645,0.895193338394165,-0.0042972564697265625,0.021680339344156863,0.5124466571834992
6,2018-04-01,2018-07-01,141372,5952,39.06602358818054,1.2157306671142578,0.7693654298782349,0.000133514404296875,0.049088260914339814,0.5290431837425911
7,2018-07-01,2018-10-01,147324,5859,29.724015951156616,1.3269098997116089,0.7942113280296326,-0.0008515119552612305,0.03182729049697134,0.5397482324538714
8,2018-10-01,2019-01-01,153183,5859,30.81580352783203,1.6188942193984985,0.9056987762451172,-0.026900172233581543,-0.010145056165073127,0.47542110690959094
9,2019-01-01,2019-04-01,159042,5673,36.24087166786194,1.1874058246612549,0.7446398138999939,-0.003344416618347168,0.010636441934780926,0.5606195478013174
10,2019-04-01,2019-07-01,164715,5859,39.095141887664795,1.3415535688400269,0.80389004945755,-0.0017420053482055664,0.01812271981053328,0.5355360523145758
11,2019-07-01,2019-10-01,170574,5952,32.3303062915802,1.3287632465362549,0.8158034682273865,-0.00215911865234375,0.02652340976014852,0.521680216802168
12,2019-10-01,2020-01-01,176526,5828,33.819528102874756,1.2441577911376953,0.775013267993927,-0.0037142038345336914,0.015411600383396675,0.538968929005381
