feature,importance_mean,importance_std,rank,selected,gini_importance,task
sent_count_log,0.007335302281049383,0.00011553654360263182,1,True,0.12551733786783234,regression
sent_strength,0.007199336003614587,0.00021328725496333595,2,True,0.1405987770170354,regression
sent_mean,0.0059050434308153266,0.00017473098416984615,3,False,0.13847570171944218,regression
sent_surprise,0.005440344381039375,0.00015098455582438026,4,False,0.12866565607313643,regression
sent_momentum_3d,0.0042566463139914745,5.884984835728069e-05,5,False,0.1343096010169646,regression
sent_ema_5d,0.0038252439756998437,8.220019481632615e-05,6,False,0.12157287428898624,regression
sent_std,0.0034207275490854895,5.654985601518565e-05,7,False,0.0964832887280443,regression
sent_ema_20d,0.0032590503641319103,5.0831445448478994e-05,8,False,0.1143767632885586,regression
sent_surprise,0.019499904318428275,0.0005273385649600217,1,True,0.13245910871458147,classification
sent_ema_20d,0.01488167378962813,0.00037257461867805955,2,True,0.12832475711170435,classification
sent_ema_5d,0.014598350024451973,0.0005130630855134738,3,False,0.12859090374280702,classification
sent_strength,0.014567519295783638,0.0010238023392492648,4,False,0.1330281760136961,classification
sent_mean,0.013563394356913543,0.000460772728767751,5,False,0.12684586937639686,classification
sent_momentum_3d,0.013083923369692347,0.0006744803056838955,6,False,0.13069422095958824,classification
sent_std,0.013019072526631375,0.000430368838981782,7,False,0.1094267281138416,classification
sent_count_log,0.0112319533924433,0.0006061884180631538,8,False,0.11063023596738433,classification
