ticker,days_with_news,density_pct
AA,2087,100.0
AGN,2087,100.0
AKS,2087,100.0
ALK,2087,100.0
AMTD,2087,100.0
ANF,2087,100.0
APC,2087,100.0
A,2087,100.0
BAX,2087,100.0
BDX,2087,100.0
BKS,2087,100.0
BX,2087,100.0
BMY,2087,100.0
BSX,2087,100.0
BUD,2087,100.0
CAT,2087,100.0
CAG,2087,100.0
CCL,2087,100.0
CF,2087,100.0
ENB,2087,100.0
CLR,2087,100.0
CLX,2087,100.0
CME,2087,100.0
CNC,2087,100.0
COF,2087,100.0
CP,2087,100.0
CSIQ,2087,100.0
DAL,2087,100.0
DFS,2087,100.0
DHI,2087,100.0
DLTR,2087,100.0
DPZ,2087,100.0
DUK,2087,100.0
D,2087,100.0
EBAY,2087,100.0
GPS,2087,100.0
ENDP,2087,100.0
EOG,2087,100.0
EWC,2087,100.0
EWI,2087,100.0
EW,2087,100.0
FL,2087,100.0
GOLD,2087,100.0
HOG,2087,100.0
GREK,2087,100.0
HAS,2087,100.0
HMC,2087,100.0
HTZ,2087,100.0
HP,2087,100.0
HUM,2087,100.0
HYG,2087,100.0
XLE,2087,100.0
ICE,2087,100.0
ILMN,2087,100.0
JNJ,2087,100.0
KEY,2087,100.0
KGC,2087,100.0
KMB,2087,100.0
KO,2087,100.0
LL,2087,100.0
LOW,2087,100.0
MAR,2087,100.0
MET,2087,100.0
MRK,2087,100.0
MRO,2087,100.0
MRVL,2087,100.0
MS,2087,100.0
ORCL,2087,100.0
MT,2087,100.0
MU,2087,100.0
M,2087,100.0
NSC,2087,100.0
NDAQ,2087,100.0
NTAP,2087,100.0
NTES,2087,100.0
PPG,2087,100.0
NVDA,2087,100.0
NWSA,2087,100.0
OHI,2087,100.0
PRGO,2087,100.0
PCG,2087,100.0
PXD,2087,100.0
PVH,2087,100.0
XRT,2087,100.0
TRP,2087,100.0
QCOM,2087,100.0
QQQ,2087,100.0
RAD,2087,100.0
RF,2087,100.0
RL,2087,100.0
RRC,2087,100.0
SAVE,2087,100.0
SIRI,2087,100.0
SPWR,2087,100.0
STI,2087,100.0
SYK,2087,100.0
TIF,2087,100.0
TOT,2087,100.0
TRIP,2087,100.0
ZUMZ,2087,100.0
WFC,2087,100.0
TRV,2087,100.0
TSM,2087,100.0
ULTA,2087,100.0
VTR,2087,100.0
VWO,2087,100.0
WEN,2087,100.0
WMB,2087,100.0
XLP,2087,100.0
WSM,2087,100.0
MNST,2080,99.66459032103498
BBT,2071,99.2333493052228
SYMC,2049,98.17920459990417
VZ,2010,96.31049353138476
MSFT,0,0.0
