fold,val_start,val_end,train_samples,val_samples,train_time,mse,mae,r2,ic,directional_accuracy
1,2017-01-01,2017-04-01,3654,186,1.1783993244171143,1.2452058792114258,0.8127287030220032,-0.03446686267852783,-0.04607509009786049,0.5053763440860215
2,2017-04-01,2017-07-01,3840,189,0.899590253829956,1.3191620111465454,0.7974031567573547,-0.03218662738800049,0.07347745906264917,0.5405405405405406
3,2017-07-01,2017-10-01,4029,189,0.9708378314971924,1.7993577718734741,0.8207014799118042,0.032169878482818604,0.19164755861284416,0.5691489361702128
4,2017-10-01,2018-01-01,4218,189,1.0048160552978516,2.0247573852539062,0.8553614020347595,-0.03833115100860596,-0.12418957051247999,0.4756756756756757
5,2018-01-01,2018-04-01,4407,183,1.0315196514129639,1.2898647785186768,0.8027200102806091,-0.032282352447509766,0.08437979130253444,0.5722222222222222
6,2018-04-01,2018-07-01,4590,192,1.0805468559265137,1.383867621421814,0.8469934463500977,-0.08075237274169922,-0.07273553427556087,0.5104166666666666
7,2018-07-01,2018-10-01,4782,189,1.1541979312896729,1.5531457662582397,0.7781239151954651,-0.04524827003479004,-0.0271032310844652,0.5080213903743316
8,2018-10-01,2019-01-01,4971,189,1.1817631721496582,1.50416100025177,0.8972693681716919,-0.047690391540527344,-0.0036474164133738604,0.5106382978723404
9,2019-01-01,2019-04-01,5160,183,1.1900229454040527,1.3955051898956299,0.7462974786758423,0.019412457942962646,0.09579751386233645,0.4585635359116022
10,2019-04-01,2019-07-01,5343,189,1.226494312286377,1.5287079811096191,0.8163055181503296,-0.03444182872772217,0.04155781366440165,0.5187165775401069
11,2019-07-01,2019-10-01,5532,192,1.2734477519989014,1.2461742162704468,0.8587453365325928,1.7404556274414062e-05,0.042664731573664655,0.5260416666666666
12,2019-10-01,2020-01-01,5724,248,1.326767921447754,1.3601317405700684,0.8160756230354309,-0.013888835906982422,0.04524982677844791,0.5321888412017167
