Date,Ticker,Weight
2024-12-11,ANAB,1.0
2024-12-19,CTAS,0.5
2024-12-19,MUU,0.5
2025-01-13,RAPT,1.0
2025-01-14,RAPT,1.0
2025-01-21,FTAI,1.0
2025-01-24,FTAI,1.0
2025-01-27,NVDL,0.16666666666666666
2025-01-27,MUU,0.16666666666666666
2025-01-27,ALAB,0.16666666666666666
2025-01-27,MULL,0.16666666666666666
2025-01-27,NVDU,0.16666666666666666
2025-01-27,TSMU,0.16666666666666666
2025-01-31,NVDL,1.0
2025-02-06,SWKS,0.5
2025-02-06,SYM,0.5
2025-02-10,SMTC,1.0
2025-02-12,AAOI,1.0
2025-02-25,TEM,1.0
2025-02-27,MRVL,0.1
2025-02-27,NVDL,0.1
2025-02-27,SITM,0.1
2025-02-27,CRDO,0.1
2025-02-27,MUU,0.1
2025-02-27,TSMX,0.1
2025-02-27,TEM,0.1
2025-02-27,AAON,0.1
2025-02-27,MULL,0.1
2025-02-27,TSMU,0.1
2025-02-28,PRAX,1.0
2025-03-03,NVDL,0.2
2025-03-03,ALAB,0.2
2025-03-03,AAOI,0.2
2025-03-03,NVDU,0.2
2025-03-03,NBIS,0.2
2025-03-05,CRDO,1.0
2025-03-06,MRVL,0.07142857142857142
2025-03-06,MDB,0.07142857142857142
2025-03-06,NVDL,0.07142857142857142
2025-03-06,CRDO,0.07142857142857142
2025-03-06,AFRM,0.07142857142857142
2025-03-06,MUU,0.07142857142857142
2025-03-06,PDP,0.07142857142857142
2025-03-06,APP,0.07142857142857142
2025-03-06,AAOI,0.07142857142857142
2025-03-06,MULL,0.07142857142857142
2025-03-06,NVDU,0.07142857142857142
2025-03-06,TSMU,0.07142857142857142
2025-03-06,MQQQ,0.07142857142857142
2025-03-06,QQQA,0.07142857142857142
2025-03-10,MRVL,0.045454545454545456
2025-03-10,TARK,0.045454545454545456
2025-03-10,SOCL,0.045454545454545456
2025-03-10,NVDL,0.045454545454545456
2025-03-10,CRDO,0.045454545454545456
2025-03-10,AFRM,0.045454545454545456
2025-03-10,MUU,0.045454545454545456
2025-03-10,FRPT,0.045454545454545456
2025-03-10,APP,0.045454545454545456
2025-03-10,HOOD,0.045454545454545456
2025-03-10,SEZL,0.045454545454545456
2025-03-10,IREN,0.045454545454545456
2025-03-10,MULL,0.045454545454545456
2025-03-10,FDCF,0.045454545454545456
2025-03-10,NVDU,0.045454545454545456
2025-03-10,INOD,0.045454545454545456
2025-03-10,PLTR,0.045454545454545456
2025-03-10,MQQQ,0.045454545454545456
2025-03-10,QQQA,0.045454545454545456
2025-03-10,FPXI,0.045454545454545456
2025-03-10,MSTR,0.045454545454545456
2025-03-10,COIN,0.045454545454545456
2025-03-13,TARK,0.2
2025-03-13,CAR,0.2
2025-03-13,HOOD,0.2
2025-03-13,MQQQ,0.2
2025-03-13,COIN,0.2
2025-03-14,SMST,1.0
2025-03-18,AFRM,1.0
2025-03-27,APP,0.5
2025-03-27,AAOI,0.5
2025-03-28,AAOI,1.0
2025-03-31,AAOI,0.5
2025-03-31,PCVX,0.5
2025-04-01,SMST,1.0
2025-04-03,TARK,0.05
2025-04-03,NVDL,0.05
2025-04-03,SITM,0.05
2025-04-03,CRDO,0.05
2025-04-03,AFRM,0.05
2025-04-03,MUU,0.05
2025-04-03,SHOP,0.05
2025-04-03,LITE,0.05
2025-04-03,AAOI,0.05
2025-04-03,TSMX,0.05
2025-04-03,ROKU,0.05
2025-04-03,PSIX,0.05
2025-04-03,FIVE,0.05
2025-04-03,MULL,0.05
2025-04-03,MKSI,0.05
2025-04-03,NVDU,0.05
2025-04-03,INOD,0.05
2025-04-03,TSMU,0.05
2025-04-03,SMTC,0.05
2025-04-03,MU,0.05
2025-04-04,TARK,0.04
2025-04-04,MCHP,0.04
2025-04-04,JIVE,0.04
2025-04-04,SOCL,0.04
2025-04-04,NVDL,0.04
2025-04-04,MUU,0.04
2025-04-04,DAX,0.04
2025-04-04,ACWX,0.04
2025-04-04,SCZ,0.04
2025-04-04,APP,0.04
2025-04-04,FEP,0.04
2025-04-04,HOOD,0.04
2025-04-04,AAOI,0.04
2025-04-04,UCYB,0.04
2025-04-04,TSMX,0.04
2025-04-04,IEUS,0.04
2025-04-04,MULL,0.04
2025-04-04,NVDU,0.04
2025-04-04,INOD,0.04
2025-04-04,TSMU,0.04
2025-04-04,MQQQ,0.04
2025-04-04,FGM,0.04
2025-04-04,ICOP,0.04
2025-04-04,MU,0.04
2025-04-04,PIZ,0.04
2025-04-07,TARK,0.07692307692307693
2025-04-07,JIVE,0.07692307692307693
2025-04-07,NVDL,0.07692307692307693
2025-04-07,DAX,0.07692307692307693
2025-04-07,SCZ,0.07692307692307693
2025-04-07,AAOI,0.07692307692307693
2025-04-07,TSMX,0.07692307692307693
2025-04-07,NVDU,0.07692307692307693
2025-04-07,BABX,0.07692307692307693
2025-04-07,TSMU,0.07692307692307693
2025-04-07,MCHI,0.07692307692307693
2025-04-07,RFEM,0.07692307692307693
2025-04-07,MSTR,0.07692307692307693
2025-04-08,AAOI,0.5
2025-04-08,MSTR,0.5
2025-04-09,SMST,1.0
2025-04-10,MUU,0.3333333333333333
2025-04-10,AAOI,0.3333333333333333
2025-04-10,MULL,0.3333333333333333
2025-04-11,SMST,1.0
2025-04-14,APP,1.0
2025-04-16,APP,0.5
2025-04-16,HOOD,0.5
