Date,Ticker,Weight
2023-06-30,ROOT,1.0
2023-08-04,FTNT,1.0
2023-09-19,FCAP,1.0
2023-10-19,SMTC,1.0
2023-10-23,RVMD,1.0
2023-10-26,ALGN,1.0
2023-10-30,SMTC,1.0
2023-10-31,WGS,1.0
2023-11-10,WGS,1.0
2024-01-18,HUT,0.5
2024-01-18,IREN,0.5
2024-01-19,ASTS,1.0
2024-01-22,HUT,1.0
2024-01-23,HUT,1.0
2024-02-23,AAOI,1.0
2024-03-19,SPRB,1.0
2024-06-28,KRUS,1.0
2024-07-10,KRUS,1.0
2024-07-30,NVDL,0.5
2024-07-30,SYM,0.5
2024-08-01,ARM,1.0
2024-08-02,FORM,0.25
2024-08-02,CHPS,0.25
2024-08-02,AMBA,0.25
2024-08-02,INTC,0.25
2024-08-05,BITS,0.2
2024-08-05,TARK,0.2
2024-08-05,NVDL,0.2
2024-08-05,GGLL,0.2
2024-08-05,NVDU,0.2
2024-08-08,ROOT,1.0
2024-09-03,NVDL,0.5
2024-09-03,NVDU,0.5
2024-09-06,NVDL,1.0
2024-10-29,TMDX,1.0
2024-11-27,SYM,1.0
2024-12-03,TMDX,1.0
2024-12-11,ANAB,1.0
2024-12-19,CTAS,1.0
