fold,val_start,val_end,train_samples,val_samples,train_time,mse,mae,r2,ic,directional_accuracy
1,2017-01-01,2017-04-01,95709,5766,93.4637131690979,1.3474488258361816,0.7762517929077148,0.0009503960609436035,0.05251978388062615,0.5253208463406174
2,2017-04-01,2017-07-01,101475,5859,98.21323657035828,1.4062821865081787,0.8237165808677673,0.00047206878662109375,0.021863823314049118,0.5381464413722479
3,2017-07-01,2017-10-01,107334,5859,128.71632504463196,1.3339273929595947,0.7804620265960693,0.0009297728538513184,0.043089423118704624,0.5461682881037719
4,2017-10-01,2018-01-01,113193,5859,104.99161386489868,1.488006591796875,0.8051124215126038,-0.00044918060302734375,0.018328652233812377,0.5314900153609831
5,2018-01-01,2018-04-01,119052,5673,111.70515751838684,1.5767894983291626,0.8987842202186584,-0.005896091461181641,-0.003941681724411179,0.5115459192667019
6,2018-04-01,2018-07-01,124725,5952,108.78502178192139,1.1854565143585205,0.7579230666160583,-3.230571746826172e-05,0.031772279786509795,0.540994623655914
7,2018-07-01,2018-10-01,130677,5859,157.9952564239502,1.329891562461853,0.7960303425788879,0.0008128881454467773,0.024073806939061217,0.5383171189622803
8,2018-10-01,2019-01-01,136536,5859,181.26852464675903,1.6058608293533325,0.9015607237815857,-0.025611519813537598,0.0027631248248399143,0.48540706605222733
9,2019-01-01,2019-04-01,142395,5673,125.40463733673096,1.2084293365478516,0.7517916560173035,-0.0031412839889526367,0.030724333319917294,0.5804688877137317
10,2019-04-01,2019-07-01,148068,5859,138.00343084335327,1.3266079425811768,0.7978253960609436,-0.0013786554336547852,0.01384130559361845,0.536610343061956
11,2019-07-01,2019-10-01,153927,5952,135.8150293827057,1.335820198059082,0.818791389465332,-0.004299759864807129,0.04633744998237816,0.5114247311827957
12,2019-10-01,2020-01-01,159879,5766,193.22120213508606,1.2167179584503174,0.766402542591095,-0.0026055574417114258,0.0448715315159617,0.5502948317724592
