fold,val_start,val_end,train_samples,val_samples,train_time,mse,mae,r2,ic,directional_accuracy
1,2017-01-01,2017-04-01,112356,5766,3.3767426013946533,1.3629157543182373,0.7835538983345032,-0.001843571662902832,0.03221254061466503,0.5271100193016318
2,2017-04-01,2017-07-01,118122,5859,3.0555460453033447,1.3992863893508911,0.8200885057449341,0.002578258514404297,0.06661979211555628,0.5316761608838253
3,2017-07-01,2017-10-01,123981,5859,3.973357677459717,1.3400466442108154,0.7839081883430481,-0.00267183780670166,0.00601663410080027,0.5210926694329184
4,2017-10-01,2018-01-01,129840,5859,3.8109240531921387,1.4608391523361206,0.796157956123352,-0.004651546478271484,0.0026454663971672357,0.5198481187435278
5,2018-01-01,2018-04-01,135699,5673,3.9789726734161377,1.577376365661621,0.8969045877456665,-0.002284526824951172,0.021588518227787144,0.5140469416785206
6,2018-04-01,2018-07-01,141372,5952,4.170092344284058,1.2162773609161377,0.7717620134353638,-0.0003161430358886719,0.010249588985019865,0.520575783234547
7,2018-07-01,2018-10-01,147324,5859,4.774531841278076,1.3275917768478394,0.7944193482398987,-0.0013657808303833008,-0.004323967122306878,0.5431971029487843
8,2018-10-01,2019-01-01,153183,5859,4.9065260887146,1.6211107969284058,0.9071947336196899,-0.028306126594543457,-0.04202651598286938,0.4723272602268821
9,2019-01-01,2019-04-01,159042,5673,5.001157283782959,1.187715768814087,0.7438092231750488,-0.0036063194274902344,0.008325731604644534,0.5643581983265088
10,2019-04-01,2019-07-01,164715,5859,5.034936189651489,1.343061089515686,0.804496169090271,-0.0028676986694335938,-0.00596291952837681,0.5384615384615384
11,2019-07-01,2019-10-01,170574,5952,5.277955532073975,1.328061580657959,0.8157117962837219,-0.0016298294067382812,0.018125889314159285,0.5233739837398373
12,2019-10-01,2020-01-01,176526,5828,5.53812313079834,1.2430202960968018,0.7748193740844727,-0.0027965307235717773,0.0056380894897983735,0.5450442631487589
