fold,val_start,val_end,train_samples,val_samples,train_time,accuracy,zero_rule,lift,mcc,f1_macro
1,2017-01-01,2017-04-01,109332,5580,2.4784345626831055,0.4383512544802867,0.3913978494623656,0.04695340501792111,0.13115888482550545,0.3820099481349098
2,2017-04-01,2017-07-01,114912,5670,2.317657232284546,0.43668430335097,0.40282186948853616,0.03386243386243387,0.1227247809232905,0.37796569001136926
3,2017-07-01,2017-10-01,120582,5670,2.395310163497925,0.43403880070546735,0.40476190476190477,0.029276895943562586,0.11605337177387959,0.3719252829772817
4,2017-10-01,2018-01-01,126252,5670,2.4524829387664795,0.44074074074074077,0.4104056437389771,0.030335097001763678,0.12518274080510203,0.3547055044298472
5,2018-01-01,2018-04-01,131922,5490,2.577425003051758,0.39143897996357013,0.37777777777777777,0.013661202185792365,0.08429376425627813,0.32609209077867385
6,2018-04-01,2018-07-01,137412,5760,2.5713558197021484,0.39305555555555555,0.3640625,0.028993055555555536,0.07923455681472001,0.35154549449570877
7,2018-07-01,2018-10-01,143172,5670,2.7701032161712646,0.41164021164021164,0.35908289241622576,0.05255731922398588,0.09751429196565581,0.35304948423735455
8,2018-10-01,2019-01-01,148842,5670,2.8497934341430664,0.36860670194003525,0.4142857142857143,-0.04567901234567906,0.057748807930734676,0.2996930261598234
9,2019-01-01,2019-04-01,154512,5490,2.90161395072937,0.4051001821493625,0.39672131147540984,0.008378870673952654,0.09634732060819362,0.39602518878182824
10,2019-04-01,2019-07-01,160002,5670,3.0470621585845947,0.40652557319223986,0.3700176366843034,0.03650793650793649,0.09753998251474827,0.3539602407027067
11,2019-07-01,2019-10-01,165672,5767,3.1274847984313965,0.41858852089474596,0.3773192301023062,0.04126929079243974,0.12743350892538494,0.37330695792438934
12,2019-10-01,2020-01-01,171439,5642,3.1709048748016357,0.4402694080113435,0.3621056362991847,0.07816377171215882,0.14427073811755775,0.3953001940060203
