ticker,days_with_news,density_pct,total_news_in_period
EWI,1378,66.02779108768567,2521
DUK,1342,64.302827024437,2516
ALK,1324,63.44034499281265,2912
VWO,1324,63.44034499281265,2376
SAVE,1267,60.7091518926689,2700
VZ,1256,60.18207954000958,2852
BUD,1252,59.990416866315286,2838
D,1242,59.51126018207954,2472
MRK,1228,58.840440824149496,2590
RAD,1222,58.55294681360805,2985
MAR,1214,58.16962146621945,2358
PXD,1214,58.16962146621945,2434
EWC,1211,58.025874460948735,2435
JNJ,1202,57.59463344513656,2542
SPWR,1193,57.16339242932439,2699
NSC,1191,57.067561092477234,2463
HYG,1183,56.68423574508864,2245
BAX,1176,56.34882606612363,2339
BSX,1173,56.2050790608529,2312
MET,1170,56.06133205558218,2130
MRO,1168,55.96550071873503,2191
KMB,1166,55.869669381887874,2145
OHI,1165,55.821753713464304,2214
AKS,1158,55.48634403449928,2555
TSM,1155,55.34259702922856,2181
CLR,1154,55.29468136080499,2167
WMB,1152,55.19885002395783,2261
VTR,1152,55.19885002395783,2079
XLP,1150,55.10301868711068,1862
QCOM,1118,53.569717297556295,2758
CP,1105,52.94681360804984,2171
TRV,1104,52.89889793962625,2257
WFC,1099,52.65931959750838,2374
COF,1094,52.41974125539052,2095
HUM,1093,52.371825586966935,2615
ULTA,1092,52.323909918543364,2708
RRC,1090,52.22807858169622,2111
NTAP,1085,51.988500239578336,2596
SIRI,1082,51.84475323430762,2281
AMTD,1081,51.79683756588405,2174
WEN,1080,51.74892189746046,2127
TRP,1067,51.126018207954004,2053
CME,1066,51.07810253953042,1879
DFS,1066,51.07810253953042,2020
TIF,1063,50.9343555342597,2818
MT,1054,50.50311451844753,1896
MNST,1054,50.50311451844753,2354
CSIQ,1054,50.50311451844753,2218
EW,1051,50.359367513176814,2354
CLX,1051,50.359367513176814,1874
SYK,1050,50.31145184475323,2075
HP,1050,50.31145184475323,1874
TRIP,1048,50.21562050790609,2353
EBAY,1045,50.07187350263537,2772
NDAQ,1043,49.976042165788215,2091
KO,1042,49.92812649736464,2077
TOT,1042,49.92812649736464,2056
MU,1041,49.88021082894106,2744
CAG,1041,49.88021082894106,2294
HMC,1038,49.73646382367034,1935
BDX,1033,49.49688548155247,1900
BBT,1029,49.305222807858165,1942
ILMN,1025,49.11356013416387,2388
ENDP,1024,49.0656444657403,2325
SYMC,1022,48.96981312889315,2394
PPG,1017,48.73023478677527,1990
DPZ,1012,48.490656444657404,2358
HOG,1012,48.490656444657404,2163
XRT,1010,48.39482510781025,2015
ENB,1008,48.29899377096311,2142
CNC,1008,48.29899377096311,2229
NVDA,1001,47.96358409199809,2604
RL,995,47.676090081456636,2016
NTES,993,47.58025874460949,2017
PRGO,988,47.340680402491614,2263
DAL,984,47.14901772879732,2019
EOG,983,47.10110206037374,2002
GPS,980,46.957355055103015,2375
HTZ,972,46.57402970771442,2188
GOLD,971,46.52611403929085,1910
BMY,968,46.38236703402012,1930
KGC,964,46.190704360325824,1743
KEY,961,46.0469573550551,1723
PCG,957,45.8552946813608,2893
CF,954,45.71154767609008,1889
RF,953,45.66363200766651,1746
ICE,948,45.424053665548634,1727
LOW,942,45.13655965500718,2478
ANF,941,45.08864398658361,2249
FL,939,44.992812649736464,2284
M,935,44.80114997604217,2233
BX,931,44.609487302347866,1900
DHI,930,44.56157163392429,1889
CAT,912,43.69908960229995,2073
STI,899,43.076185912793484,1757
MS,897,42.980354575946336,1871
APC,887,42.50119789171059,2158
XLE,883,42.30953521801629,1892
WSM,882,42.261619549592716,1967
HAS,879,42.11787254432199,2082
PVH,859,41.159559175850504,1920
BKS,858,41.111643507426926,1964
AGN,855,40.9678965021562,2180
ORCL,854,40.91998083373263,2255
DLTR,853,40.87206516530906,2005
QQQ,847,40.58457115476761,1691
ZUMZ,838,40.15333013895544,2100
CCL,836,40.057498802108285,1743
MRVL,819,39.24293243890752,1910
LL,808,38.715860086248206,2116
NWSA,792,37.94920939147101,1627
AA,750,35.93675131768088,1863
A,742,35.55342597029229,1460
GREK,717,34.35553425970292,2453
